row_index,perturbation_type,target_label,original_scenario,original_excuse,perturbed_scenario,perturbed_excuse,original_accuracy_rate,perturbed_accuracy_rate,verdict,note
"8323","context_injection","1","Could you peek into the kids room and check on them.","But we don't have any kids.","Could you peek into the kids room and check on them? The hallway light is flickering.","But we don't have any kids.","0.8","0.4","valid",""
"18668","context_injection","1","Could you put the laundry into the dryer?","But I hung it outside on the clothesline.","Could you put the laundry into the dryer? My neighbor just got a new mailbox.","But I hung it outside on the clothesline.","1.0","0.0","valid",""
"16788","context_injection","1","Could you go read a bedtime story to our daughter?","But she is fast asleep already.","Could you go read a bedtime story to our daughter? She's wearing her favorite pajamas with the star pattern on them.","But she is fast asleep already.","0.8","0.4","valid",""
"12529","context_injection","1","Could you please feed the cat.","But I just fed the cat 20 minutes ago.","Could you please feed the cat? The mailman just delivered a package.","But I just fed the cat 20 minutes ago.","0.9","0.2","valid","debatable"
"2935","context_injection","1","Aren't you supposed to study for your final exam?","But I already took it this morning.","Aren't you supposed to study for your final exam? Your favorite pen is blue, by the way.","But I already took it this morning.","0.8","0.2","valid",""
"3992","context_injection","1","Could you take my daughter to the amusement park?","But the amusement park is closed.","Could you take my daughter to the amusement park? She's wearing her favorite blue jacket.","But the amusement park is closed.","0.9","0.1","valid",""
"17666","context_injection","1","Aren't you supposed to go see the doctor today?","No because I already met with him today","Aren't you supposed to go see the doctor today? The clinic is in the building with the blue awning.","No because I already met with him today","0.9","0.4","valid",""
"5803","context_injection","1","Can you watch a movie with me tonight?","But I already promised another friend I'd see a movie with her.","Can you watch a movie with me tonight? I've been meaning to reorganize my bookshelf all week.","But I already promised another friend I'd see a movie with her.","0.8","0.1","valid",""
"14422","context_injection","0","Aren't you supposed to feed that to the goats?","No because the goats are in the pen.","Aren't you supposed to feed that to the goats? The barn door is painted red.","No because the goats are in the pen.","1.0","0.1","valid",""
"1445","context_injection","1","Could you fix my desktop computer?","But your desktop computer is completely wrecked and unfixable","Could you fix my desktop computer? It's sitting on a oak desk in my home office.","But your desktop computer is completely wrecked and unfixable","0.9","0.4","valid",""
